user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
Thomas Abt,"Cambridge, MA","Crime Nerd. Author, BLEEDING OUT. Senior Fellow, Council on Criminal Justice. Director, National Commission on COVID-19 and Criminal Justice. Opinions my own.",2014-09-11 07:42:56,5281,981,14509,False,2020-08-10 15:44:02,"Here's a great piece from @urbaninstitute's @NLVigne, @gordontrac, @taxfox, and Richard Auxier on criminal justice… https://t.co/FPkkTwLSIe",,Twitter Web App,False
John Rowe,The Sunshine State,"Slave of Christ, Husband, #DadOfTwins | Pediatric Trauma & LEO Chaplain | #GreatCommission Advocate | #ParrotHead | Oxford comma fan | #HashtagAbuser",2010-09-24 05:48:07,1970,864,7161,False,2020-08-29 21:53:17,Every week I tweet out and ask you to prepare your heart for tomorrow and #pray for your pastor. Given the upheaval… https://t.co/ygCyL5b10L,['pray'],Twitter for iPhone,False
Alex Stankie,Digital Nomad,"Product @Moment | Founder @Xensr | Former Editor @IslandsMagazine and @CaribTravelLife | Find me at 10,000ft",2011-08-01 03:14:07,260,543,699,False,2020-07-28 04:07:23,China is a great example of how the USA should be managing this pandemic. #COVID19 #China #covid https://t.co/KY124GkCJX,"['COVID19', 'China', 'covid']",Tweetbot for iΟS,False
Rajendra Nath Sinha,"Patna, India",Self-discipline is the sole pillar of life.,2019-08-18 13:16:33,17,535,354,False,2020-07-25 04:28:11,"If #WHO is right in saying that #COVID19 spreads by air, then #lockdown will lead only to delay in peak. No. of cas… https://t.co/8HSjKUfDFx","['WHO', 'COVID19', 'lockdown']",Twitter for Android,False
BRAVE Combat Federation,Bahrain,Official Twitter account of Brave Combat Federation - the fastest growing MMA promotion in the world born in the Kingdom of Bahrain 🇧🇭 #BraveCF,2016-07-16 13:28:26,13031,191,5668,True,2020-07-25 09:32:25,"Starting off BRAVE CF 36 of Romania with the strongest Covid-19 policies and safety precautions.
.
Are you ready?… https://t.co/xVhSfw81wf",,Twitter Web App,False
UNFPA Nepal,"Kathmandu, Nepal","The United Nations Population Fund in Nepal.  
संयुक्त राष्ट्रसंघीय जनसंख्या कोष (यूएनएफपीए) 
More than four decades of partnership in 🇳🇵  
RTs ≠ endorsements.",2014-04-22 09:53:01,40617,752,1258,True,2020-07-27 05:04:23,"A delegate for #NairobiSummit #ICPD25, @shmedha has been advancing sexual &amp; reproductive health &amp; rights of people,… https://t.co/1VC2C9scWz","['NairobiSummit', 'ICPD25']",Twitter Web App,False
Dharma,,"धर्मो रक्षति रक्षितः || 
Be Good, Do Good!  
Serve, Love, Give, Purify, Meditate, Realize! 
Jai Shri Ram! Jai Shri Krishna!  
Om Jai Jagannath !! 🚩🚩",2019-01-30 07:21:54,5716,361,3,False,2020-08-08 14:21:26,"@Swamy39 As credited by Great Visionary, Dr. @Swamy39 jee ..

Mood Of The Nation (MOTN) poll: Yogi Adityanath is be… https://t.co/kjQ37j4QJt",,TweetDeck,False
Qatar Day- Pulse of Nation,"Doha, Qatar","Qatar Day is every individual’s pit stop before they plan a weekend, shopping, or a movie. It is your friend which will make life simpler and mobile.",2010-10-28 10:01:31,27032,748,4471,False,2020-08-02 19:09:12,"Bahrain: COVID-19 Patient Sentenced to Prison for Coughing at Staff
#Bahrain #COVID19 #Prison #QatarDayNews 
https://t.co/yZoodL0CxO","['Bahrain', 'COVID19', 'Prison', 'QatarDayNews']",Twitter Web App,False
Brunswick Gulf,UAE,"A global #advisory firm specializing in #business critical issues, helping companies build trusted relationships with stakeholders. Tweets mention Gulf clients",2010-03-15 14:22:26,930,194,124,False,2020-08-09 07:38:07,"To receive our comprehensive #COVID19 tracker, send us a message to the e-mail address shown in the image below. https://t.co/55tJjbzXs4",['COVID19'],Twitter Web App,False
Institut Montaigne_EN,"Paris, France",French nonpartisan & nonprofit #thinktank committed to the public interest. @i_montaigne helps improve public policy through research & analysis. 🧐🌍🇪🇺,2017-10-10 08:47:22,26530,296,3306,False,2020-08-13 07:30:07,📊 #TransatlanticTrends: the recent survey @i_montaigneEN conducted with @BertelsmannFdn and @gmfus shows that trans… https://t.co/UDdhxbgIkc,['TransatlanticTrends'],Sprout Social,False
#womeninforensics,Worldwide ,"Founder of Women in Forensics ☯️

Educating the community about forensics ▪️
info@awifs.org 
Follow/ tag #womeninforensics ▪️
WAWFE US Coord./Mgr.",2010-09-18 15:19:58,5892,2139,549,False,2020-08-06 15:41:03,U.S. Jail Population Decreased by 22% During COVID-19: Both the speed and magnitude of the decline were unprecedent… https://t.co/w51unxgn5m,,dlvr.it,False
"Tatiana Prowell, MD","Baltimore, MD","Oncologist #JohnsHopkins & #FDA serving ppl w/ cancer in clinic, #MedEd, #DrugDevelopment, #policy, & #COVID19. #ASCO20 Ed Chair. #OslerPride #NavyWife #bcsm",2009-11-02 16:05:48,23198,5364,54846,True,2020-08-01 16:25:42,"""We refuse to sit by idly while our colleagues in other districts prepare for the school yr by making wills &amp; writi… https://t.co/dVxBPZk2Vs",,Twitter for iPhone,False
Free Malaysia Today,"ÜT: 3.099457,101.681025",Free and Independent #FMTNews,2010-01-05 16:17:15,153811,2,0,False,2020-08-09 08:31:42,Police say residents in two villages must stay indoors until TEMPO period is completed. #FMTNews #Covid19  https://t.co/9q3vY2YxJO,"['FMTNews', 'Covid19']",Twitter Web App,False
GlobalPandemic.NET,WORLDWIDE,Breaking News & Critical Information to SURVIVE the Coronavirus Outbreak / Civil Unrest,2010-07-13 21:58:05,26121,25295,2,False,2020-07-31 18:56:13,ALERT: USS Hornet museum to reopen after four month closure - Global Pandemic News | #Coronavirus #COVID19… https://t.co/wIMNeB7L5j,"['Coronavirus', 'COVID19']",GlobalPandemic.NET,False
ActivistBowen,Hong Kong,"person, web writer, dissident, son, brother, friend; NOT a 1-man show; RTs = IMPORTANCE, NOT NECESSARILY ENDORSEMENTS; REASONABLENESS over loyalty",2011-06-08 20:17:01,3181,3969,4175,False,2020-08-04 07:19:32,"52050 cases; 803 deaths (CUMULATIVE: 1855745 cases;   38938 deaths): hashtag THREE (August 4, 2020; 12:52 HKT) #COVID19 #COVID #INDIA","['COVID19', 'COVID', 'INDIA']",Twitter Web App,False
Shane Woodford,"Faaborg, Denmark","Freelance journalist in the EU. Formerly News Director and Talk Show host @RadioNLNews, former journo @CKNW, and @CBCVancouver. Email: shanewoodford@hotmail.com",2010-08-03 05:31:34,13005,2682,1753,False,2020-08-12 07:39:57,Yesterday #NewZealand ended a 102 day streak with its first community #COVID19 transmission as #Aukland was put bac… https://t.co/32MxNrGPrc,"['NewZealand', 'COVID19', 'Aukland']",Twitter for iPad,False
The Pig Site,,"The Pig Site is a knowledge sharing platform with premium news, analysis and resources for the global pig industry.",2009-08-26 12:52:54,5628,119,280,False,2020-07-31 18:35:01,China has asked local authorities to carry out regular #coronavirus tests at wholesale markets as part of a holisti… https://t.co/FwN5J8aa3S,['coronavirus'],Buffer,False
David Montgomery,"Minneapolis, MN","Political data journalism w/@MPRnews. History podcaster @thesiecle. High-functioning generalist. Ideas, history, #rstats, maps, Cubs. RTs != endorsements.",2010-09-23 22:46:30,13980,3186,34070,True,2020-07-29 16:25:29,@Stowydad After a brief period this month where long-term care #COVID19 deaths were rarer than other #COVID19 death… https://t.co/wYHjHmyE4G,"['COVID19', 'COVID19']",TweetDeck,False
Al Arabiya English,Dubai,The Arab world’s leading source of global news and opinion.,2009-02-28 08:31:32,858492,41,1,True,2020-08-13 10:11:50,"The #UAE detects 277 new cases of the novel #coronavirus after conducting over 68,000 #COVID19 tests, which raises… https://t.co/NU1y9c6bO7","['UAE', 'coronavirus', 'COVID19']",Sprinklr,False
BRANDON ⚖️,PNW → PA → DC,National Press Secretary @DemocraticAGs | Alum: @GSPMgwu & @willamette_u | Seattle Sports | @JoslinSchultz’s lesser half | he/him | tweets = mine,2012-10-07 02:59:22,2819,1156,224172,True,2020-08-29 21:46:35,"How is he failing to keep people safe?

1) Said it’s ok for religious schools to re-open without #COVID19 safety pr… https://t.co/F2vdJhFx43",['COVID19'],Twitter for iPhone,False
Liz Carlson,"Wanaka, New Zealand",Young Adventuress | @nzstuff contributor. Travel blogger and coffee addict. Always looking for adventure.,2009-05-17 22:15:31,15530,4040,9525,True,2020-07-27 07:01:30,"Just because we can, does it mean we should? - https://t.co/hGTBz0UKrv #covid19",['covid19'],Hootsuite Inc.,False
@Iam.all.you nid,"Durban, South Africa","An entrepreneur, network marketer go getter, business woman, boss lady, people's person. #INUKA #HERBALIFE #HONEYACCESORIES.",2020-04-24 06:04:33,19,126,24,False,2020-07-27 05:07:16,"@itThuthukaM How much can you afford to pay to join Inuka???
Small kits cost - R780 (incl delivery)
How much do you… https://t.co/CwleRefHt8",,Twitter for Android,False
jamesleonard,"Swansea, Wales",smile and the world will smile with you xxx,2016-01-13 19:55:20,257,1185,5172,False,2020-08-17 08:10:53,Wow this self employed grant is a joke can’t claim anything as didn’t earn enough wtf am I suppose too do now no wo… https://t.co/2hljGT3O6u,,Twitter for iPhone,False
Carla Harwood,"Bingley, England","Info Gov Officer, Fulbrighter and massive keeno for film. #LancashirePride",2012-06-13 20:35:17,205,165,285,False,2020-08-02 18:52:23,Disappointed to have to cancel plans with @chrisharwood38 next weekend but if it helps contain #COVID19 in… https://t.co/B6kYtcFslw,['COVID19'],Twitter Web App,False
I & PR Andhra Pradesh,Amarava,Govt of AP Official I & PR Page #iprap #AndhraPradesh #Amaravati https://t.co/D0JCENE01E,2018-01-09 12:21:46,41461,2,7,False,2020-08-11 09:37:17,AndhraPradeshCM: Hon'ble CM ysjagan attended a video conference meeting held by Hon'ble PMOIndia on the #COVID19 cr… https://t.co/JEgIDgCWqi,['COVID19'],IFTTT,False
"Facilitate 2 Motivate, LLC","Washington, D.C.","Leading high potential women and millennials to success on their terms. Co-founders @drjeanita, @kaybellarosa, @cmjonesphd",2020-08-09 19:24:36,13,6,3,False,2020-08-11 10:13:01,"While (Women's) Equal Pay Day was on March 31, 2020, #BlackWomensEqualPay Day isn't until this week...August 13, 20… https://t.co/lAylkxoFxQ",['BlackWomensEqualPay'],Twitter Web App,False
Peggy Smedley,"Carol Stream, IL","Tech-People-Connector: Podcast doer, influencer, and futurist educating world about the IoT and emerging tech to inspire next-gen women and men as innovators.",2009-07-20 15:57:05,29746,3907,1270,False,2020-08-06 15:03:32,"Prefab? DFAB House is not only digitally designed and planned but also built using digital processes, both on- and… https://t.co/hhZj25QEhH",,Hootsuite Inc.,False
Jinjirrie 🐈‍⬛,Queensland Australia,politics . poetry . irony . satire . support #BDS of Israel . seeking a sustainable socialist planet,2008-02-22 23:08:05,4780,3000,28057,False,2020-08-04 03:58:10,"Latest poem - ""Schadenfreude"".

'For decades they sneered
at us backward banana benders ...'… https://t.co/dcDv612BfP",,Twitter Web App,False
Cali Bats,California,"For public education, against high stakes testing and corporate take-over of public education! **Official Twitter for California BATs**",2013-11-10 01:13:39,1012,201,9,False,2020-07-25 03:08:00,The Trump Administration has had 5 months to figure this out &amp; they haven't even tried. The Democratic House has pa… https://t.co/oKXHrnVTgD,,TweetDeck,False
S L Anand Vaishnov,Chennai,"Independent Journalist, Political consultant - Psephologist and Social media strategist
ANAND VAISHNOV eSchool of Polity & Journalism",2012-05-01 04:08:04,726,1471,12095,False,2020-08-11 09:31:36,#Russia registered its #COVID19 VACCINE first in the world 😍😍,"['Russia', 'COVID19']",Twitter Web App,False
WRVS Benevolent Trust,,"The WRVS Benevolent Trust provide #Grants and Youth #Bursaries to present or former WVS, WRVS or @RoyalVolService #volunteers or staff.",2017-06-12 12:43:18,1495,411,1145,False,2020-08-11 09:00:16,"If you haven't already, download your Free #COVID19 COVID-19 support pack for older people via @moveitorloseit1 👇… https://t.co/qWVJ4pbrys",['COVID19'],Buffer,False
kriszta satori,,"BBC journo,watches opp in Russia,FSU,E.Europe,US,Syria. No bbc spox,views own,some humour 😩 migrant. Header:The hate campaign loves you! https://t.co/Tb4fdPdE6",2010-01-17 21:40:20,8169,7084,34035,False,2020-08-22 05:53:24,"BBC News - Coronavirus pandemic could be over within two years - WHO head
https://t.co/9qZjscUakR #covid19",['covid19'],Twitter for Android,False
Wee Kiat CHIA,"Boston, MA","🇺🇸🇲🇾🇸🇬 Countertenor | Vocal Instructor | Choir Director | Doctor of Musical Arts, Boston University",2016-10-27 16:27:01,701,4358,299,False,2020-08-30 02:47:13,"Negative on my #COVID19 test! A free mandatory test for the BU community!

#BostonUniversity #mycfa https://t.co/hR5iIc7tYH","['COVID19', 'BostonUniversity', 'mycfa']",Twitter for Android,False
IAmAWe,"El Sereno, LA, CA",ENFP:The Challenger. Open-minded Pharmacist with unyielding hope for humanity.  LA by way of NY.,2008-10-22 07:12:30,992,4877,26278,False,2020-07-25 09:16:17,"@PokemonGoApp So excited for 10am that Sally &amp; I can't sleep! Fashion Show, here we come...
#PokemonGOFest2020… https://t.co/fHf7xGJE6U",['PokemonGOFest2020'],Twitter for iPhone,False
J.A.I.L. Accountability and Information Line,"Ottawa, Ontario",We track human rights abuses at OCDC and advocate or file complaints for people incarcerated there when requested. We also connect them to community resources.,2018-12-03 10:28:46,453,350,164,False,2020-08-02 18:20:11,"There is a confirmed #COVID19 outbreak at the Ottawa-Carleton Detention Centre (OCDC).

#ContainCOVIDNotPeople https://t.co/gFz2v4bl7U","['COVID19', 'ContainCOVIDNotPeople']",Twitter for iPhone,False
COVID-19 Bot - Daily Coronavirus Reports,,Daily updates at 12:00 UTC (might be delayed due to website updates) on global stats of the COVID-19 Virus (coronavirus). Sources are provided in every report.,2020-02-29 14:09:37,90,0,0,False,2020-08-08 12:00:04,"Report for 8th of August 2020
Total Population Infected: 19,357,085 (19,076,745 yesterday)
Total Deaths: 721,174 (7… https://t.co/bpDDzUuagf",,COVID19 Update,False
U.S. Senate Floor,"Washington, DC","A @GovTop Project. #US #Senate updates. Also: @SenateNews, @HouseFloor, @USHouseNews, @USSupremeCourt, @GovTop",2007-11-01 15:31:42,547660,13,22,False,2020-08-06 16:35:49,12:35 p.m. - @SenatorCardin of Maryland is speaking about the next #Coronavirus relief package. #COVID19 https://t.co/SOmYJ3Dv4t,"['Coronavirus', 'COVID19']",TTYtter,False
danale alekie,Kenya🇰🇪🇰🇪,"@Arsenal ,music and poet lover 

Chum

All likes are my bookmarked resources.",2020-01-12 12:45:35,303,285,10527,False,2020-08-04 07:50:59,"Let it sink deep deep to you hearts.
Mwesh say it loudly  
#murathe 
#COVID19 
#KameneAndJalas https://t.co/k5RcTJq5u7","['murathe', 'COVID19', 'KameneAndJalas']",Twitter for Android,False
Kentucky Gentleman,Kentucky,Christian. Patriot. Kentuckian. Digital Soldier. Constitutional Conservative. Anti-Globalist. Trump 2020. #GodWins #ProLife #AllLivesMatter #TakeTheOath #17,2016-09-27 02:25:25,5165,5659,37205,False,2020-08-22 02:12:00,The gap is widening between the #Covid19 deaths by county (minimum of 10) being reported by CHFS &amp; the CDC. Here ar… https://t.co/hYpGEWPpxc,['Covid19'],Twitter Web App,False
Helmut Zermin,"Berlin, Deutschland","Journalist, Socialmediamanager und Kampagnenkoordinator Germany  bei Laudato Si Generation https://t.co/iNv1Vnpzm9 #climatestrikes #LaudatoSi #AllesfürsKlima",2009-03-16 11:22:08,1796,5000,33128,False,2020-08-09 05:25:42,Around 90% of the #world’s #student #population has had their #education disrupted due to #COVID19. We must act NOW… https://t.co/iu9ngbFhks,"['world', 'student', 'population', 'education', 'COVID19']",Twitter Web App,False
Hannah Critchfield,*Not a real doctor/worm.,"Inmate & gender health @NCHealthNews / @report4america.
@columbiajourn alum. Words @theintercept @theappeal
Tip? hcritchfield@northcarolinahealthnews.org",2011-08-08 22:56:44,939,728,2638,False,2020-08-06 16:33:08,"A possible way for speeding up #COVID19 test result times: Pool testing. Via @MaxHorberry 

It's something that at… https://t.co/2dWkYkF4Tn",['COVID19'],Twitter Web App,False
NDTV,India,"Breaking news alerts from India.

Instagram: https://t.co/TDCRCVHlmd
YouTube: https://t.co/ocjlisfywV",2009-05-01 20:34:48,13477334,15,1,True,2020-08-11 08:39:31,"Our experience so far is that containment, contact tracing and surveillance are most effective weapons against… https://t.co/FurZO7CCnX",,TweetDeck,False
Barracuda Networks,"Campbell, Calif.","Barracuda protects email, networks, data, and applications with innovative solutions that grow and adapt with our customers’ journey.",2011-01-03 17:21:04,15241,960,8767,True,2020-08-06 16:10:04,Beware of the rise in #phishing attacks https://t.co/aISqYY6OQz A huge percentage of attacks shared a common set of #COVID19 themes,"['phishing', 'COVID19']",Hootsuite Inc.,False
Janet Werner,"Houston, TX","UH  B.S. in Technology TRDE '90
UH M.S. in Technology OCTE '93
OLLU  MBA '96 (emphasis in Strategic Planning)",2009-04-27 15:18:57,1419,1253,304299,False,2020-08-08 13:42:15,"@mikewri14203476 @CNN Pay off delinquent mortgages due to #COVID19 economic #Trump failure, fune #coronavirus vacci… https://t.co/nXR1FKbH8m","['COVID19', 'Trump', 'coronavirus']",Twitter Web App,False
Resistance Princess 🌊🇵🇱👩‍⚕️😺🚀,"Santa Maria, CA",RN. Old fart. Cat lover. Proud geek. Potty Mouth. Democratic Socialist. Agnostic. MAGAts blocked. NO DMS! #Biden/Harris2020 #AmericaOrTrump #ETTD,2017-01-21 03:40:37,3866,5000,32450,False,2020-08-14 03:24:39,"It still pisses me off that a few weeks ago, Alex Azar had the nerve to stand at the podium during the WH coronavir… https://t.co/nr8SP3TKUO",,Twitter Web App,False
Legal Lining,The Big Apple,"Speaker, Author, Advisor. US Politics, Law & Current Events. Lawyer in Multiple US States,Federal Courts, US Supreme Court. Helping people to achieve & succeed.",2019-01-16 18:30:18,41,717,610,False,2020-07-25 01:03:28,The only guy who tells Americans the truth. #AnthonyFauci #Fauci #DrFauci #CDC #Coronavirus #Covid19 #Mask… https://t.co/9PSuj1vLDN,"['AnthonyFauci', 'Fauci', 'DrFauci', 'CDC', 'Coronavirus', 'Covid19', 'Mask']",Twitter Web App,False
remote.io - Remote Jobs,Remote,"Remote / work-from-home jobs 👉 https://t.co/haAp0IcB5P 
Hiring remote employees? 👉 https://t.co/tRSrDANxMq",2019-06-09 18:20:48,2344,13,4,False,2020-08-22 00:32:05,"🚨 New Remote Job Listing 📢 
            
DevOps Engineer (AWS, Splunk Cloud) at Modus Create… https://t.co/8OewyeyTXd",,remote.io,False
The Insurer,"London, New York","Welcome to https://t.co/T5mRKx3MyX, where we bring you the market-leading specialty (re)insurance news, analysis and data service.",2013-06-11 15:15:17,2702,1527,421,False,2020-08-13 09:19:32,"COMMENT: UK industry must find a pandemic path to common ground on £6.6bn+ Pool Re future

https://t.co/MQNftjIvEw… https://t.co/b8Oj2DnobU",,Twitter Web App,False
Chris Lewis,"Croydon, London","Award winning global #Cancer writer and speaker. #BMT patient, leading change for others! COO @yoursimpal #Tech4Good #FRSA. Love helping people smile :) #CPFC",2011-11-21 10:34:42,26733,25016,93160,False,2020-08-17 08:00:00,"Risk, Fear, And Uncertainty.
""I didn’t go through all I have been through, to remain living in fear and hiding in m… https://t.co/r55sDW1drO",,TweetDeck,False
Accenture AU & NZ,,"Improving the way the world lives, works, plays, protects and grows. Follow us for the latest news, events, research and innovative work from Accenture AU & NZ.",2009-03-25 00:30:22,3956,1219,1051,False,2020-08-14 02:20:19,Reform momentum has been declining for three decades - leaving a growing wedge between the economy we have and the… https://t.co/HGs0dgD9RR,,Twitter Web App,False
already an ancestor,Karankawa/Atakapa land ,She/her. SE Tejas Co-Director @texashousers. Tweets my own. Participating in multiple Twitterverses at once. At home in the world + Houston,2011-10-17 04:01:22,764,1115,2502,False,2020-07-30 20:39:19,#COVID19 dgaf about Houston's sprawl. https://t.co/w2du2aP74R,['COVID19'],Twitter Web App,False
Angela Paladino,"Melbourne, Victoria","Professor of Marketing, Unimelb (innovation, environmental mktg, attitudes; business education); Director, WCLA; Former A/Editor Jour. Product Innovation M'ment",2015-12-22 05:37:41,434,484,1762,False,2020-08-22 08:37:12,Social #innovation #coronavirus #COVID19 https://t.co/ExVOyC5nKg,"['innovation', 'coronavirus', 'COVID19']",Twitter for Android,False
Lady_J ⏳❤️✌️🌊⚖️,,"”Recall the face of the poorest and weakest man you have seen, and ask yourself if this step you contemplate is going to be any use to him.” Mahatma Gandhi",2016-01-26 02:19:23,1434,1533,18448,False,2020-08-04 03:33:21,"https://t.co/3nZFxJcmSZ

Oops. #rondesantisresign #COVID19 #COVIDIOT","['rondesantisresign', 'COVID19', 'COVIDIOT']",Twitter for iPhone,False
UNICEF Ethiopia,"Addis Ababa, Ethiopia","Official account of UNICEF in #Ethiopia. We promote the rights and wellbeing of every child, with a special focus on reaching those in greatest need.",2012-05-08 21:11:19,88808,1982,4470,True,2020-07-27 05:30:19,Our #MondayMotivation are health extension workers who have become more critical in mitigating the spread of… https://t.co/QWad7ZVDSx,['MondayMotivation'],Hootsuite Inc.,False
Gulf Daily News,Bahrain,Leading English Daily Newspaper published from Kingdom of Bahrain,2010-02-25 09:22:18,23794,103,8,True,2020-08-13 07:56:04,"The Health Ministry has announced the death of a 57-year-old Bahraini man from Covid-19 today

This takes the total… https://t.co/EL56dWxNrd",,TweetDeck,False
Ruthiehot,Nigeria,"Social Media Influencer! 

Customer Care Support  @pas_solar LTD

Renewable energy advocate ☀ 🏡 Join #TheSolarRevolution",2017-03-11 18:36:27,221,853,4742,False,2020-07-25 09:26:52,Why do I feel like the Pandemic will vanish after the US elections in November? 🤔 #COVID19 #bbnaijalockdown2020 #COVID19Nigeria,"['COVID19', 'bbnaijalockdown2020', 'COVID19Nigeria']",Twitter for Android,False
OTV,"Bhubaneshwar, India","If something on Odisha is not on https://t.co/tklvVwUTgF, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ0QKiH
Follow us on Facebook: https://t.co/EYZelyrCNf",2011-12-16 07:28:52,534153,279,485,True,2020-07-26 03:37:06,"Global COVID-19 Cases Near 16 Million With Over 643k Deaths 

#COVID19 #CoronaVirusUpdates 

https://t.co/u96dtGhxui","['COVID19', 'CoronaVirusUpdates']",Twitter Web App,False
Krafty MOM,Texas,"I love the Lord,but I cuss a little. Life has many mountains ,but I just keep stocked up on good hiking Boots & keep going! #soccermom#cheermom TN still has my❤",2010-10-30 18:21:57,280,1122,2065,False,2020-08-16 05:24:14,One thing #Covid19  has done is made us Closer to Nature and Appreciate our Furry friends more .. #Makingfriends… https://t.co/ahxkV3f0g3,"['Covid19', 'Makingfriends']",Instagram,False
Sambad English,Odisha,"Odisha Sun Times is now Sambad English. We cover Breaking News, Alerts & Feature Articles.

Join us on: https://t.co/dVPFiHHyyo",2013-11-12 08:17:29,35842,4,7,False,2020-08-09 08:22:14,#COVID19 test of Home Minister Amit Shah has not been conducted so far: Ministry of Home Affairs (MHA) Official https://t.co/M4yoDjcVkr,['COVID19'],Twitter for Android,False
AIR NEWS JAIPUR,"Jaipur, India","Official account of Regional News Unit Jaipur, All India Radio News, News Bulletins at 09.00 a.m. , 12.30 p.m. , 18.30  Hindi and 15.00 and 18.50 Rajasthani",2017-01-27 10:32:07,3957,148,194,False,2020-07-25 00:46:36,"#COVIDUpdates #COVID19  

Total 958 new cases have been reported till 8.30 pm,24/7/2020, out of which 84 are from… https://t.co/6AJITnTD7c","['COVIDUpdates', 'COVID19']",Twitter for Android,False
Concern Australia,Australia,Hope and care for young people and children (ages 5-21). We focus on #Education #Housing #Homelessness #Justice @valuesforlifess @InsideOutAccom,2011-04-05 01:55:41,334,471,689,False,2020-07-28 05:55:54,“This is an insightful decision that will make such a difference for thousands of people experiencing #homelessness… https://t.co/SFVsC8zPal,['homelessness'],Twitter Web App,False
WasIsAlwaysPali,,"Pure 100% #Palestinian🇵🇸

Resistance is a Must, When Injustice becomes Law. 

#israel should be recognized, anywhere but in #Palestine  

#BDS. #Wewillprevail",2014-05-29 20:28:24,181,1256,6528,False,2020-08-10 16:12:08,How abt cutting your tax payers fee to half and using that money to #COVID19 testing #texas? https://t.co/pMI7CHVER7,"['COVID19', 'texas']",Twitter for Android,False
Chandrakanta dalai,India,Official Tweeter account via Literature of English Student:@Chandra30845117,2020-07-17 00:37:43,45,47,622,False,2020-08-09 08:00:12,#NewZealand are now among the only countries of Earth to go 100 days or more without cases of #COVID19 in our commu… https://t.co/NTdrzoW1vN,"['NewZealand', 'COVID19']",Twitter for Android,False
rose lane,,,2009-02-27 02:09:30,488,623,35802,False,2020-08-14 05:30:25,Yes. #covid19 deaths multiple states in #Australia to date. https://t.co/vgzy64lros,"['covid19', 'Australia']",Twitter Web App,False
"Sr DCM, Mumbai, CR",,,2016-09-19 10:29:23,2177,26,139,False,2020-07-25 03:35:49,00115/00116 CSMT-MAS BI-WEEKLY Special Parcel Train extended upto 31.12.2020. #COVID19 https://t.co/NDamz5ojAG,['COVID19'],Twitter for Android,False
Prayagraj District,"Prayagraj, India",Body is only the covering; real person is the spirit soul. So the modern education has no knowledge of this.,2016-02-29 09:09:43,1627,617,4596,False,2020-08-04 04:09:21,"India #CoronaWatch

52,050 new cases &amp; 803 deaths in last 24 hours
Total #COVID19 cases 
31.59% Active cases 586,29… https://t.co/c0k76LSseJ","['CoronaWatch', 'COVID19']",Twitter for Android,False
UN Peacekeeping,"New York, NY","@UN Department of Peace Operations. Supporting peace around the world. Also follow our Head, Under-Secretary-General @Lacroix_UN.",2009-06-10 01:34:55,435120,1038,5729,True,2020-07-31 19:01:00,"Public health emergencies worldwide, including the #COVID19 pandemic, take a disproportionate toll on women. 

🔍Lea… https://t.co/s03EVciOyf",['COVID19'],Hootsuite Inc.,False
Aditya Lok Pathak,"New Delhi, India","Founder & CEO - Xenohadi's Media Corporation.
Philanthropist. Journalist. Writer. Dreamchaser. Making my own brand! Guardian of an owed galaxy!",2017-01-24 19:00:34,346,559,539,False,2020-07-26 07:19:26,"Kerala: Police personnel check IDs of commuters in Kochi's Aluva, which is under curfew to curb the spread of… https://t.co/J2cICwI7BV",,IFTTT,False
Julie,Colorado,Be yourself. Everybody else is taken 😊,2009-07-12 04:40:50,143,330,2774,False,2020-08-02 21:08:00,Work selfie #homedepot #work #cashier #garden #masks #staysave #wearamask #covid19 #selfie #selfiesunday… https://t.co/iIU9UHulQN,"['homedepot', 'work', 'cashier', 'garden', 'masks', 'staysave', 'wearamask', 'covid19', 'selfie', 'selfiesunday']",Instagram,False
Nailed It,Inside a Haboob,"Adult Human Female
Noun:
#Woman
#DontTalktoMe We told you!
The best is yet to come. 💋
All will be well. 😊",2009-03-10 23:52:20,7410,8150,64653,False,2020-08-01 16:32:29,"The numbers are a lie.

#COVID19",['COVID19'],Twitter for Android,False
The Original Q,"58°16'48.4""N 12°18'17.6""E","You can't deny you're still a dangerous, savage child-race.

U Mad? Complaint Department: 706-47-TROLL",2008-08-05 05:03:06,2938,1,80,False,2020-07-28 06:32:15,"#5G signals can cause human cells to CREATE #COVID19?

""This article isn't so much a scientific paper as a represen… https://t.co/NY6ZoucMZg","['5G', 'COVID19']",Twitter Web App,False
The Weather Channel India,India,"Daily weather news, tidbits, video and alerts from The Weather Channel India
#MausamIsAwesome",2017-10-17 19:01:35,39526,120,197,True,2020-07-27 06:30:00,"#COVID19: India Records Close to 50,000 New Cases in a Single Day; Death Toll Crosses 32,000 Mark… https://t.co/E5aj7W9JgA",['COVID19'],TweetDeck,False
Justice@1964,We are everywhere,Member of the #resistance. Fighting on the battlefield of justice to save our democracy from Trumpers. 🏳️‍🌈#votebluenomatterwho,2018-03-02 16:51:47,1874,1991,2179,False,2020-08-17 03:34:23,So much shade. Love it 😂@realDonaldTrump @WhiteHouse will not be a happy boy. #BidenHarris… https://t.co/kPALXF3q7i,['BidenHarris'],Twitter for iPhone,False
